country,year,prct_access_elec,prct_renew_prod,prct_renew_cons
Armenia,2021,100,2.10305876380251,9.1
Armenia,2022,100,..,..
Armenia,2023,100,..,..
Armenia,2024,..,..,..
Aruba,2015,100,18.9002071637882,6.7
Aruba,2016,100,15.7270434965329,7
Aruba,2017,100,14.6995368050798,6.8
Aruba,2018,100,14.6470009449678,8.6
Aruba,2019,100,15.0205308345377,8.3
Aruba,2020,100,14.7971787957078,9.1
Aruba,2021,100,14.7971787957078,8.8
Aruba,2022,99.9,..,8.8
Aruba,2023,100,..,..
Aruba,2024,..,..,..
Australia,2015,100,7.98431659191756,9.4
Australia,2016,100,8.61820532591848,9.6
Australia,2017,100,9.36755170930399,9.9
Australia,2018,100,10.9604835744055,9.8
Australia,2019,100,13.656230825752,10.3
Australia,2020,100,16.8875246061136,11.2
Australia,2021,100,20.937361139354,12.3
Australia,2022,100,..,..
Australia,2023,100,..,..
Australia,2024,..,..,..
Austria,2015,100,15.9661097413437,34.8
Austria,2016,100,16.2666012765708,34.6
Austria,2017,100,17.892616790982,34
Austria,2018,100,18.094276928458,34.1
Austria,2019,100,18.6002370881267,34
Austria,2020,100,18.5045480856694,35.8
Austria,2021,100,19.7907315280683,36
Austria,2022,100,..,..
Austria,2023,100,..,..
Austria,2024,..,..,..
Azerbaijan,2015,100,0.775599481529488,2.3
Azerbaijan,2016,100,0.933031420327028,1.9
Azerbaijan,2017,100,0.945723684210526,1.9
Azerbaijan,2018,100,1.12648143010028,1.9
Azerbaijan,2019,100,1.32824486038662,1.7
Azerbaijan,2020,100,1.33209489531329,1.3
Azerbaijan,2021,100,1.21956467171083,1.3
Azerbaijan,2022,100,..,..
Azerbaijan,2023,100,..,..
Azerbaijan,2024,..,..,..
"Bahamas, The",2015,100,0.187146837890514,1.4
"Bahamas, The",2016,100,0.212265020515441,1.2
"Bahamas, The",2017,100,0.22405023958657,1.1
"Bahamas, The",2018,100,0.21874610832264,1.1
"Bahamas, The",2019,100,0.259294143719874,1.1
"Bahamas, The",2020,100,0.314668862486766,1.4
"Bahamas, The",2021,100,0.480875807854305,1.1
"Bahamas, The",2022,100,..,1.1
"Bahamas, The",2023,100,..,..
"Bahamas, The",2024,..,..,..
Bahrain,2015,100,0.0331765201516641,0
Bahrain,2016,100,0.0331462644686075,0
Bahrain,2017,100,0.0323353293413174,0
Bahrain,2018,100,0.0319742852309254,0
Bahrain,2019,100,0.0338337914992599,0
Bahrain,2020,100,0.0335510155173447,0
Bahrain,2021,100,0.0374420435657423,0
Bahrain,2022,100,..,..
Bahrain,2023,100,..,..
Bahrain,2024,..,..,..
Bangladesh,2015,74,0.811231737012987,33.1
Bangladesh,2016,75.9,0.343846377654932,30.2
Bangladesh,2017,88,0.432246974885066,28.1
Bangladesh,2018,86.9,0.212492872980678,27
Bangladesh,2019,92.2,0.514082597469966,26.1
Bangladesh,2020,96.2,0.447563019301309,27.2
Bangladesh,2021,99,0.778793284365163,25
Bangladesh,2022,99.4,..,..
Bangladesh,2023,99.5,..,..
Bangladesh,2024,..,..,..
Barbados,2015,100,1.34096311632544,3
Barbados,2016,100,1.32797236458363,2.8
Barbados,2017,100,2.31115908273211,4.3
Barbados,2018,100,2.30119275563441,4.9
Barbados,2019,100,3.40916985064258,3.4
Barbados,2020,100,5.44542672560354,4.7
Barbados,2021,100,7.32507956609401,5.5
Barbados,2022,100,..,5.5
Barbados,2023,100,..,..
Barbados,2024,..,..,..
Belarus,2015,97.4,0.510856170412535,6.8
Belarus,2016,98,0.744831079068105,6.7
Belarus,2017,98.7,1.0111545704766,7.3
Belarus,2018,99.3,1.15505566100652,7.2
Belarus,2019,100,1.6384529840603,7.8
Belarus,2020,100,2.45927155753865,8.4
Belarus,2021,100,2.24690220422416,8.2
Belarus,2022,100,..,..
Belarus,2023,100,..,..
Belarus,2024,..,..,..
Belgium,2015,100,20.2893623126031,9.4
Belgium,2016,100,16.2257318412261,9.2
Belgium,2017,100,17.9413292695598,9.7
Belgium,2018,100,22.5176241687656,10.7
Belgium,2019,100,20.4847080432275,10.2
Belgium,2020,100,25.9354074206567,12.3
Belgium,2021,100,22.2006150416497,11.7
Belgium,2022,100,..,..
Belgium,2023,100,..,..
Belgium,2024,..,..,..
Belize,2015,91.8,29.6657822350965,30.3
Belize,2016,93.3,26.4837239283577,33.3
Belize,2017,94.2,25.9492036160138,37.2
Belize,2018,91.7,28.323770744648,35.5
Belize,2019,92.7,42.0471943425114,30.4
Belize,2020,96.8,50.5651859877212,31.4
Belize,2021,97.7,59.4581971041569,26.6
Belize,2022,98.6,..,30.8
Belize,2023,99.6,..,..
Belize,2024,..,..,..
Benin,2015,29.6,0.821212121212121,49.9
Benin,2016,37,0.123188405797101,45.4
Benin,2017,34.5,1.33232628398792,45.4
Benin,2018,39,2.67821782178218,44
Benin,2019,40,1.02462121212121,46.5
Benin,2020,41,0.539939332659252,46.2
Benin,2021,42,0.251332149200711,54.5
Benin,2022,56.5,..,..
Benin,2023,57,..,..
Benin,2024,..,..,..
Bermuda,2015,100,..,0.6
Bermuda,2016,100,..,1.1
Bermuda,2017,100,..,0.6
Bermuda,2018,100,..,0.7
Bermuda,2019,100,..,0.8
Bermuda,2020,100,..,0.9
Bermuda,2021,100,..,0.9
Bermuda,2022,100,..,0.9
Bermuda,2023,100,..,..
Bermuda,2024,..,..,..
Bhutan,2015,95.4,0.00503387539996721,81.6
Bhutan,2016,99.3,0.0136935533514658,80.8
Bhutan,2017,97.7,0.0194227054015839,79.7
Bhutan,2018,100,0.021838547046983,80
Bhutan,2019,100,0.00451055295909622,81
Bhutan,2020,100,0.013191069118564,83.9
Bhutan,2021,100,0.00813068223815507,81.8
Bhutan,2022,100,..,82.5
Bhutan,2023,100,..,..
Bhutan,2024,..,..,..
Bolivia,2015,91.5,2.18036959167865,14.2
Bolivia,2016,91.8,2.32578116611189,13.6
Bolivia,2017,91.8,1.97173144876325,14.3
Bolivia,2018,92.8,3.55408786150305,14.3
Bolivia,2019,95.1,4.63639906469213,13.5
Bolivia,2020,97.2,6.42047275641026,16.9
Bolivia,2021,98.6,8.50588019110621,12.8
Bolivia,2022,99.9,..,..
Bolivia,2023,99.8,..,..
Bolivia,2024,..,..,..
Bosnia and Herzegovina,2015,99.7,0.065775161558641,25.2
Bosnia and Herzegovina,2016,100,0.141048010356278,23
Bosnia and Herzegovina,2017,100,0.169120330940504,18.5
Bosnia and Herzegovina,2018,100,0.688935281837161,35.4
