Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690,..
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,1894813389.40325,1695825714.19282,1825018144.65595,2072349972.6818,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,2555492085.94725,2751494281.06887,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,409.8504859647,366.322853938121,387.176203444318,432.324025684263,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897288721,516.160999996036,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/08/2026,,,,,,,,,,,,,,,
